Place,Username,Points,Victories,Games,Kills,Deaths,Beds,Teams Eliminated,Winstreak,Country

1,StrafeYosef,6197520,15683,22251,152661,19118,22776,22080,1,Israel

2,prinsese1,5859040,16208,19877,95197,35171,16855,20461,0,None

3,Lcea,5224840,14517,20880,127275,44404,16311,13458,4,Germany

4,HappyStateOfMind,4812445,13889,18162,79314,35140,6719,6660,28,Norway

5,Taivax,4392645,10855,11433,91210,12997,25977,23505,80,United Kingdom

6,Dragasdata,4286425,11087,15368,80086,28333,26353,20198,2,None

7,xoLarry2Pro,4285105,10884,13333,95093,23854,14255,12560,24,France

8,Foony,4255195,11193,11382,78566,12488,14652,14969,420,Netherlands

9,CRYBL0CKER,4241915,11438,14361,90960,25247,13085,13814,29,South Africa

10,Kylic,4231945,11016,14150,101989,36658,14707,13627,29,United Kingdom

11,Kahyy,4063295,11224,15872,84539,31994,9766,10342,0,None

12,07Efe07,4043970,10750,11504,77112,17774,16591,12833,12,Turkey

13,Raptide,3961655,11152,11413,64794,12430,17448,13301,76,Denmark

14,NeosKing108,3814240,10549,14774,68949,37598,9454,8776,1,Italy

15,_black_miner_,3794685,10228,12819,95128,24188,11876,10502,13,None

16,Mxderno,3721315,9807,11291,84641,18239,15799,15901,13,Czech Republic

17,Rotsu,3702035,9887,12443,91873,17629,10662,11532,7,Saudi Arabia

18,wamiee,3658540,10272,17772,51955,30936,6729,7536,1,United Kingdom

19,5574,3584105,9916,16464,62423,42748,8829,10140,11,United States

20,RISQIFIED,3535545,10402,12248,48806,17158,8768,14469,0,Israel

21,Stqv,3526535,9674,10102,63937,11664,13885,12440,1,None

22,notSally,3393870,8683,12316,59991,32152,15237,12174,0,None

23,dssey,3313335,9936,13107,42406,20939,6278,5032,0,United States

24,TimmyYL,3285445,8121,11768,57820,25463,14119,16409,0,None

25,TheHulkKill,3241625,8693,13119,56732,44849,10254,7715,2,None

26,HDXI,3198475,9258,10201,64636,12939,6461,6724,71,None

27,Madish,3161885,9122,15666,50109,32382,4436,4908,0,United States

28,iicarly,3114220,8514,12601,60788,28194,7155,7666,27,United States

29,Freezer_Arctic,3106490,8012,11541,60630,27534,8951,7739,2,France

